time,watch_hr
2020-12-25T21:17:04.000Z,61
2020-12-25T21:17:05.000Z,61
2020-12-25T21:17:16.000Z,65
2020-12-25T21:17:18.000Z,68
2020-12-25T21:17:29.000Z,71
2020-12-25T21:17:34.000Z,74
2020-12-25T21:17:36.000Z,79
2020-12-25T21:17:39.000Z,82
2020-12-25T21:17:44.000Z,85
2020-12-25T21:17:49.000Z,89
2020-12-25T21:17:59.000Z,85
2020-12-25T21:18:07.000Z,88
2020-12-25T21:18:17.000Z,88
2020-12-25T21:18:19.000Z,85
2020-12-25T21:18:21.000Z,81
2020-12-25T21:18:27.000Z,86
2020-12-25T21:18:28.000Z,89
2020-12-25T21:18:30.000Z,93
2020-12-25T21:18:31.000Z,97
2020-12-25T21:18:32.000Z,102
2020-12-25T21:18:33.000Z,107
2020-12-25T21:18:34.000Z,112
2020-12-25T21:18:35.000Z,112
2020-12-25T21:18:38.000Z,115
2020-12-25T21:18:41.000Z,112
2020-12-25T21:18:44.000Z,117
2020-12-25T21:18:46.000Z,123
2020-12-25T21:18:47.000Z,126
2020-12-25T21:18:52.000Z,123
2020-12-25T21:18:53.000Z,118
2020-12-25T21:18:55.000Z,110
2020-12-25T21:18:56.000Z,104
2020-12-25T21:19:00.000Z,107
2020-12-25T21:19:01.000Z,111
2020-12-25T21:19:04.000Z,115
2020-12-25T21:19:05.000Z,112
2020-12-25T21:19:07.000Z,115
2020-12-25T21:19:12.000Z,119
2020-12-25T21:19:14.000Z,116
2020-12-25T21:19:17.000Z,122
2020-12-25T21:19:18.000Z,122
2020-12-25T21:19:25.000Z,122
2020-12-25T21:19:32.000Z,123
2020-12-25T21:19:34.000Z,127
2020-12-25T21:19:41.000Z,126
2020-12-25T21:19:48.000Z,127
2020-12-25T21:19:55.000Z,127
2020-12-25T21:20:02.000Z,128
2020-12-25T21:20:09.000Z,128
2020-12-25T21:20:16.000Z,128
2020-12-25T21:20:23.000Z,129
2020-12-25T21:20:30.000Z,131
2020-12-25T21:20:37.000Z,131
2020-12-25T21:20:47.000Z,132
2020-12-25T21:20:54.000Z,129
2020-12-25T21:21:06.000Z,126
2020-12-25T21:21:11.000Z,123
2020-12-25T21:21:18.000Z,120
2020-12-25T21:21:25.000Z,117
2020-12-25T21:21:30.000Z,114
2020-12-25T21:21:34.000Z,111
2020-12-25T21:21:46.000Z,108
2020-12-25T21:22:00.000Z,105
2020-12-25T21:22:03.000Z,102
2020-12-25T21:22:06.000Z,99
2020-12-25T21:22:10.000Z,96
2020-12-25T21:22:15.000Z,93
2020-12-25T21:22:19.000Z,90
2020-12-25T21:22:24.000Z,85
2020-12-25T21:22:25.000Z,80
2020-12-25T21:22:26.000Z,75
2020-12-25T21:22:27.000Z,75
2020-12-25T21:22:35.000Z,79
2020-12-25T21:22:38.000Z,82
2020-12-25T21:22:39.000Z,85
2020-12-25T21:22:40.000Z,88
2020-12-25T21:22:41.000Z,91
2020-12-25T21:22:43.000Z,97
2020-12-25T21:22:44.000Z,101
2020-12-25T21:22:47.000Z,105
2020-12-25T21:22:49.000Z,108
2020-12-25T21:22:52.000Z,111
2020-12-25T21:22:59.000Z,112
2020-12-25T21:23:06.000Z,114
2020-12-25T21:23:12.000Z,111
2020-12-25T21:23:17.000Z,114
2020-12-25T21:23:19.000Z,117
2020-12-25T21:23:26.000Z,115
2020-12-25T21:23:28.000Z,119
2020-12-25T21:23:34.000Z,122
2020-12-25T21:23:36.000Z,119
2020-12-25T21:23:39.000Z,122
2020-12-25T21:23:46.000Z,121
2020-12-25T21:23:53.000Z,122
2020-12-25T21:24:00.000Z,122
2020-12-25T21:24:07.000Z,123
2020-12-25T21:24:11.000Z,129
2020-12-25T21:24:13.000Z,134
2020-12-25T21:24:20.000Z,132
2020-12-25T21:24:27.000Z,132
2020-12-25T21:24:34.000Z,132
2020-12-25T21:24:41.000Z,131
2020-12-25T21:24:45.000Z,126
2020-12-25T21:24:52.000Z,126
2020-12-25T21:24:59.000Z,128
2020-12-25T21:25:06.000Z,128
2020-12-25T21:25:12.000Z,132
2020-12-25T21:25:16.000Z,135
2020-12-25T21:25:20.000Z,131
2020-12-25T21:25:27.000Z,130
2020-12-25T21:25:34.000Z,134
2020-12-25T21:25:41.000Z,133
2020-12-25T21:25:48.000Z,135
2020-12-25T21:25:55.000Z,134
2020-12-25T21:26:02.000Z,134
2020-12-25T21:26:05.000Z,138
2020-12-25T21:26:12.000Z,136
2020-12-25T21:26:19.000Z,136
2020-12-25T21:26:26.000Z,136
2020-12-25T21:26:33.000Z,136
2020-12-25T21:26:40.000Z,136
2020-12-25T21:26:47.000Z,137
2020-12-25T21:26:49.000Z,134
2020-12-25T21:26:56.000Z,135
2020-12-25T21:27:03.000Z,137
2020-12-25T21:27:10.000Z,136
2020-12-25T21:27:17.000Z,136
2020-12-25T21:27:21.000Z,132
2020-12-25T21:27:22.000Z,136
2020-12-25T21:27:29.000Z,135
2020-12-25T21:27:36.000Z,135
2020-12-25T21:27:43.000Z,137
2020-12-25T21:27:50.000Z,138
2020-12-25T21:27:57.000Z,138
2020-12-25T21:28:04.000Z,138
2020-12-25T21:28:11.000Z,138
2020-12-25T21:28:12.000Z,137
2020-12-25T21:28:19.000Z,137
2020-12-25T21:28:26.000Z,136
2020-12-25T21:28:33.000Z,137
2020-12-25T21:28:40.000Z,138
2020-12-25T21:28:47.000Z,138
2020-12-25T21:28:54.000Z,138
2020-12-25T21:29:01.000Z,140
2020-12-25T21:29:08.000Z,139
2020-12-25T21:29:15.000Z,138
2020-12-25T21:29:22.000Z,140
2020-12-25T21:29:29.000Z,143
2020-12-25T21:29:36.000Z,143
2020-12-25T21:29:40.000Z,138
2020-12-25T21:29:47.000Z,138
2020-12-25T21:29:50.000Z,141
2020-12-25T21:29:57.000Z,142
2020-12-25T21:30:04.000Z,142
2020-12-25T21:30:06.000Z,139
2020-12-25T21:30:13.000Z,138
2020-12-25T21:30:20.000Z,139
2020-12-25T21:30:27.000Z,139
2020-12-25T21:30:34.000Z,139
2020-12-25T21:30:41.000Z,141
2020-12-25T21:30:46.000Z,138
2020-12-25T21:30:53.000Z,140
2020-12-25T21:31:00.000Z,140
2020-12-25T21:31:07.000Z,140
2020-12-25T21:31:14.000Z,141
2020-12-25T21:31:21.000Z,139
2020-12-25T21:31:28.000Z,142
2020-12-25T21:31:35.000Z,143
2020-12-25T21:31:41.000Z,146
2020-12-25T21:31:48.000Z,145
2020-12-25T21:31:55.000Z,145
2020-12-25T21:32:02.000Z,144
2020-12-25T21:32:09.000Z,144
2020-12-25T21:32:16.000Z,145
2020-12-25T21:32:23.000Z,144
2020-12-25T21:32:27.000Z,147
2020-12-25T21:32:34.000Z,147
2020-12-25T21:32:41.000Z,146
2020-12-25T21:32:45.000Z,149
2020-12-25T21:32:58.000Z,145
2020-12-25T21:33:01.000Z,142
2020-12-25T21:33:09.000Z,139
2020-12-25T21:33:12.000Z,136
2020-12-25T21:33:13.000Z,132
2020-12-25T21:33:16.000Z,126
2020-12-25T21:33:19.000Z,123
2020-12-25T21:33:23.000Z,119
2020-12-25T21:33:27.000Z,116
2020-12-25T21:33:39.000Z,112
2020-12-25T21:33:47.000Z,114
2020-12-25T21:33:49.000Z,111
2020-12-25T21:33:56.000Z,114
2020-12-25T21:33:58.000Z,117
2020-12-25T21:34:01.000Z,120
2020-12-25T21:34:06.000Z,123
2020-12-25T21:34:13.000Z,124
2020-12-25T21:34:20.000Z,126
2020-12-25T21:34:23.000Z,129
2020-12-25T21:34:30.000Z,129
2020-12-25T21:34:37.000Z,131
2020-12-25T21:34:40.000Z,134
2020-12-25T21:34:47.000Z,135
2020-12-25T21:34:54.000Z,137
2020-12-25T21:35:00.000Z,132
2020-12-25T21:35:01.000Z,132
2020-12-25T21:35:05.000Z,136
2020-12-25T21:35:12.000Z,139
2020-12-25T21:35:19.000Z,141
2020-12-25T21:35:26.000Z,141
2020-12-25T21:35:33.000Z,142
2020-12-25T21:35:40.000Z,141
2020-12-25T21:35:47.000Z,140
2020-12-25T21:35:49.000Z,137
2020-12-25T21:35:57.000Z,138
2020-12-25T21:35:58.000Z,141
2020-12-25T21:36:01.000Z,144
2020-12-25T21:36:08.000Z,145
2020-12-25T21:36:15.000Z,146
2020-12-25T21:36:22.000Z,145
2020-12-25T21:36:29.000Z,145
2020-12-25T21:36:36.000Z,144
2020-12-25T21:36:40.000Z,147
2020-12-25T21:36:47.000Z,145
2020-12-25T21:36:54.000Z,145
2020-12-25T21:37:01.000Z,147
2020-12-25T21:37:08.000Z,147
2020-12-25T21:37:15.000Z,148
2020-12-25T21:37:22.000Z,147
2020-12-25T21:37:29.000Z,145
2020-12-25T21:37:36.000Z,144
2020-12-25T21:37:39.000Z,144
2020-12-25T21:37:46.000Z,147
2020-12-25T21:37:53.000Z,146
2020-12-25T21:38:00.000Z,147
2020-12-25T21:38:07.000Z,149
2020-12-25T21:38:10.000Z,146
2020-12-25T21:38:17.000Z,146
2020-12-25T21:38:23.000Z,149
2020-12-25T21:38:29.000Z,153
2020-12-25T21:38:36.000Z,153
2020-12-25T21:38:37.000Z,149
2020-12-25T21:38:38.000Z,149
2020-12-25T21:38:45.000Z,148
2020-12-25T21:38:52.000Z,148
2020-12-25T21:38:59.000Z,148
2020-12-25T21:39:06.000Z,148
2020-12-25T21:39:13.000Z,147
2020-12-25T21:39:20.000Z,147
2020-12-25T21:39:27.000Z,147
2020-12-25T21:39:34.000Z,149
2020-12-25T21:39:39.000Z,146
2020-12-25T21:39:46.000Z,148
2020-12-25T21:39:51.000Z,151
2020-12-25T21:39:53.000Z,148
2020-12-25T21:40:00.000Z,148
2020-12-25T21:40:07.000Z,150
2020-12-25T21:40:14.000Z,148
2020-12-25T21:40:20.000Z,151
2020-12-25T21:40:24.000Z,148
2020-12-25T21:40:31.000Z,150
2020-12-25T21:40:38.000Z,149
2020-12-25T21:40:45.000Z,148
2020-12-25T21:40:52.000Z,150
2020-12-25T21:40:59.000Z,150
2020-12-25T21:41:02.000Z,153
2020-12-25T21:41:06.000Z,150
2020-12-25T21:41:13.000Z,151
2020-12-25T21:41:20.000Z,150
2020-12-25T21:41:27.000Z,150
2020-12-25T21:41:34.000Z,150
2020-12-25T21:41:41.000Z,149
2020-12-25T21:41:48.000Z,149
2020-12-25T21:41:55.000Z,151
2020-12-25T21:42:02.000Z,152
2020-12-25T21:42:09.000Z,151
2020-12-25T21:42:16.000Z,151
2020-12-25T21:42:23.000Z,152
2020-12-25T21:42:30.000Z,151
2020-12-25T21:42:37.000Z,150
2020-12-25T21:42:44.000Z,149
2020-12-25T21:42:51.000Z,149
2020-12-25T21:42:58.000Z,150
2020-12-25T21:43:04.000Z,153
2020-12-25T21:43:11.000Z,152
2020-12-25T21:43:18.000Z,153
2020-12-25T21:43:25.000Z,151
2020-12-25T21:43:32.000Z,152
2020-12-25T21:43:39.000Z,151
2020-12-25T21:43:46.000Z,151
2020-12-25T21:43:53.000Z,150
2020-12-25T21:44:00.000Z,150
2020-12-25T21:44:07.000Z,151
2020-12-25T21:44:14.000Z,151
2020-12-25T21:44:21.000Z,153
2020-12-25T21:44:28.000Z,152
2020-12-25T21:44:35.000Z,153
2020-12-25T21:44:42.000Z,154
2020-12-25T21:44:45.000Z,151
2020-12-25T21:44:52.000Z,151
2020-12-25T21:44:59.000Z,152
2020-12-25T21:45:06.000Z,152
2020-12-25T21:45:13.000Z,153
2020-12-25T21:45:20.000Z,154
2020-12-25T21:45:27.000Z,153
2020-12-25T21:45:34.000Z,153
2020-12-25T21:45:41.000Z,153
2020-12-25T21:45:48.000Z,154
2020-12-25T21:45:55.000Z,152
2020-12-25T21:46:02.000Z,154
2020-12-25T21:46:06.000Z,153
2020-12-25T21:46:13.000Z,151
2020-12-25T21:46:20.000Z,153
2020-12-25T21:46:27.000Z,153
2020-12-25T21:46:34.000Z,153
2020-12-25T21:46:41.000Z,153
2020-12-25T21:46:48.000Z,152
2020-12-25T21:46:55.000Z,154
2020-12-25T21:46:59.000Z,151
2020-12-25T21:47:02.000Z,155
2020-12-25T21:47:08.000Z,152
2020-12-25T21:47:15.000Z,151
2020-12-25T21:47:17.000Z,154
2020-12-25T21:47:23.000Z,151
2020-12-25T21:47:30.000Z,153
2020-12-25T21:47:37.000Z,153
2020-12-25T21:47:44.000Z,154
2020-12-25T21:47:51.000Z,154
2020-12-25T21:47:58.000Z,154
2020-12-25T21:48:05.000Z,153
2020-12-25T21:48:12.000Z,154
2020-12-25T21:48:19.000Z,153
2020-12-25T21:48:26.000Z,155
2020-12-25T21:48:33.000Z,154
2020-12-25T21:48:40.000Z,154
2020-12-25T21:48:47.000Z,154
2020-12-25T21:48:48.000Z,157
2020-12-25T21:48:55.000Z,158
2020-12-25T21:48:58.000Z,154
2020-12-25T21:49:05.000Z,155
2020-12-25T21:49:12.000Z,154
2020-12-25T21:49:19.000Z,155
2020-12-25T21:49:26.000Z,153
2020-12-25T21:49:32.000Z,156
2020-12-25T21:49:39.000Z,156
2020-12-25T21:49:46.000Z,154
2020-12-25T21:49:51.000Z,157
2020-12-25T21:49:58.000Z,155
2020-12-25T21:50:03.000Z,152
2020-12-25T21:50:10.000Z,153
2020-12-25T21:50:17.000Z,154
2020-12-25T21:50:24.000Z,154
2020-12-25T21:50:31.000Z,156
2020-12-25T21:50:38.000Z,155
2020-12-25T21:50:45.000Z,155
2020-12-25T21:50:52.000Z,153
2020-12-25T21:50:59.000Z,155
2020-12-25T21:51:06.000Z,155
2020-12-25T21:51:13.000Z,153
2020-12-25T21:51:20.000Z,152
2020-12-25T21:51:27.000Z,152
2020-12-25T21:51:34.000Z,153
2020-12-25T21:51:41.000Z,151
2020-12-25T21:51:48.000Z,152
2020-12-25T21:51:52.000Z,155
2020-12-25T21:51:59.000Z,155
2020-12-25T21:52:06.000Z,155
2020-12-25T21:52:08.000Z,158
2020-12-25T21:52:14.000Z,155
2020-12-25T21:52:20.000Z,158
2020-12-25T21:52:27.000Z,156
2020-12-25T21:52:34.000Z,155
2020-12-25T21:52:41.000Z,154
2020-12-25T21:52:46.000Z,157
2020-12-25T21:52:53.000Z,154
2020-12-25T21:53:00.000Z,153
2020-12-25T21:53:07.000Z,153
2020-12-25T21:53:13.000Z,156
2020-12-25T21:53:16.000Z,159
2020-12-25T21:53:22.000Z,156
2020-12-25T21:53:29.000Z,155
2020-12-25T21:53:36.000Z,156
2020-12-25T21:53:43.000Z,155
2020-12-25T21:53:50.000Z,154
2020-12-25T21:53:57.000Z,154
2020-12-25T21:54:04.000Z,156
2020-12-25T21:54:08.000Z,153
2020-12-25T21:54:15.000Z,155
2020-12-25T21:54:22.000Z,155
2020-12-25T21:54:24.000Z,158
2020-12-25T21:54:27.000Z,156
2020-12-25T21:54:34.000Z,156
2020-12-25T21:54:38.000Z,153
2020-12-25T21:54:45.000Z,155
2020-12-25T21:54:52.000Z,154
2020-12-25T21:54:59.000Z,153
2020-12-25T21:55:06.000Z,156
2020-12-25T21:55:13.000Z,154
2020-12-25T21:55:14.000Z,157
2020-12-25T21:55:16.000Z,154
2020-12-25T21:55:23.000Z,155
2020-12-25T21:55:24.000Z,158
2020-12-25T21:55:29.000Z,155
2020-12-25T21:55:36.000Z,154
2020-12-25T21:55:43.000Z,155
2020-12-25T21:55:50.000Z,154
2020-12-25T21:55:57.000Z,157
2020-12-25T21:56:04.000Z,158
2020-12-25T21:56:10.000Z,154
2020-12-25T21:56:17.000Z,156
2020-12-25T21:56:24.000Z,156
2020-12-25T21:56:28.000Z,162
2020-12-25T21:56:29.000Z,162
2020-12-25T21:56:36.000Z,161
2020-12-25T21:56:38.000Z,157
2020-12-25T21:56:45.000Z,155
2020-12-25T21:56:52.000Z,155
2020-12-25T21:56:59.000Z,157
2020-12-25T21:57:06.000Z,156
2020-12-25T21:57:13.000Z,154
2020-12-25T21:57:17.000Z,157
2020-12-25T21:57:24.000Z,157
2020-12-25T21:57:29.000Z,154
2020-12-25T21:57:32.000Z,157
2020-12-25T21:57:39.000Z,154
2020-12-25T21:57:45.000Z,156
2020-12-25T21:57:52.000Z,158
2020-12-25T21:57:56.000Z,155
2020-12-25T21:57:59.000Z,158
2020-12-25T21:58:06.000Z,156
2020-12-25T21:58:13.000Z,157
2020-12-25T21:58:18.000Z,162
2020-12-25T21:58:25.000Z,160
2020-12-25T21:58:30.000Z,163
2020-12-25T21:58:32.000Z,160
2020-12-25T21:58:38.000Z,160
2020-12-25T21:58:44.000Z,162
2020-12-25T21:58:46.000Z,162
2020-12-25T21:58:50.000Z,162
2020-12-25T21:58:56.000Z,159
2020-12-25T21:59:03.000Z,158
2020-12-25T21:59:10.000Z,159
2020-12-25T21:59:16.000Z,161
2020-12-25T21:59:22.000Z,162
2020-12-25T21:59:29.000Z,161
2020-12-25T21:59:36.000Z,162
2020-12-25T21:59:43.000Z,161
2020-12-25T21:59:49.000Z,163
2020-12-25T21:59:55.000Z,163
2020-12-25T22:00:02.000Z,161
2020-12-25T22:00:09.000Z,160
2020-12-25T22:00:12.000Z,157
2020-12-25T22:00:15.000Z,160
2020-12-25T22:00:22.000Z,161
2020-12-25T22:00:29.000Z,160
2020-12-25T22:00:36.000Z,161
2020-12-25T22:00:43.000Z,162
2020-12-25T22:00:49.000Z,161
2020-12-25T22:00:55.000Z,161
2020-12-25T22:01:01.000Z,162
2020-12-25T22:01:07.000Z,162
2020-12-25T22:01:13.000Z,162
2020-12-25T22:01:20.000Z,162
2020-12-25T22:01:27.000Z,162
2020-12-25T22:01:34.000Z,162
2020-12-25T22:01:40.000Z,163
2020-12-25T22:01:47.000Z,162
2020-12-25T22:01:54.000Z,163
2020-12-25T22:02:01.000Z,164
2020-12-25T22:02:07.000Z,162
2020-12-25T22:02:13.000Z,163
2020-12-25T22:02:20.000Z,164
2020-12-25T22:02:27.000Z,162
2020-12-25T22:02:34.000Z,164
2020-12-25T22:02:39.000Z,162
2020-12-25T22:02:46.000Z,161
2020-12-25T22:02:48.000Z,158
2020-12-25T22:02:54.000Z,161
